feature_name,Male Lower Bound,Male Upper Bound,Female Lower Bound,Female Upper Bound,Units,Notes/Context
diastolic blood pressure_mean,60,80,60,80,mmHg,Normal is <120/<80. Population averages vary by age. Hypertension Stage 1 is defined at 80-89 mmHg. 2
heart rate_mean,60,100,60,100,bpm,Resting rate is influenced by fitness; athletes may have rates as low as 40 bpm. Women's resting rates are often 5-10 bpm higher than men's. 3
mean blood pressure_mean,70,100,70,100,mmHg,Also known as Mean Arterial Pressure (MAP). A value <60-65 mmHg raises concern for inadequate organ perfusion. 2
oxygen saturation_mean,95,100,95,100,%,SpO2. Values may be lower in older adults or those with chronic lung disease. A value <92% requires urgent attention. 32
respiratory rate_mean,12,18,12,18,breaths/min,Normal range for adults at rest. Can be slightly higher in older adults. 7
systolic blood pressure_mean,90,120,90,120,mmHg,Normal is <120/<80. Population averages vary by age. Hypertension Stage 1 is defined at 130-139 mmHg. 2
temperature_mean,36.1,37.2,36.1,37.2,°C,Average is ~97.9°F (36.6°C). Ranges vary by measurement site and time of day. 44
fraction inspired oxygen_mean,N/A,N/A,N/A,N/A,%,"Therapeutic target. Set to achieve target oxygen saturation, ideally <60% to avoid toxicity. 51"
fraction inspired oxygen set_mean,N/A,N/A,N/A,N/A,%,"Therapeutic target. Set to achieve target oxygen saturation, ideally <60% to avoid toxicity. 51"
peak inspiratory pressure_mean,N/A,N/A,N/A,N/A,cmH2O,"Monitored value, not a set range. Influenced by airway resistance and lung compliance. 51"
plateau pressure_mean,N/A,30,N/A,30,cmH2O,Therapeutic target. Goal is <30 cmH2O to prevent lung injury (barotrauma). 51
positive end-expiratory pressure_mean,5,N/A,5,N/A,cmH2O,Therapeutic target. Typically set at ≥5 cmH2O to prevent alveolar collapse. 51
positive end-expiratory pressure set_mean,5,N/A,5,N/A,cmH2O,Therapeutic target. Typically set at ≥5 cmH2O to prevent alveolar collapse. 51
respiratory rate set_mean,12,20,12,20,breaths/min,Therapeutic target. May be increased up to 35 to maintain adequate ventilation with low tidal volumes. 51
tidal volume observed_mean,N/A,N/A,N/A,N/A,mL/kg IBW,Monitored value. Corresponds to the set tidal volume.
tidal volume set_mean,4,8,4,8,mL/kg IBW,Therapeutic target based on Ideal Body Weight (IBW) for lung protection. 51
tidal volume spontaneous_mean,N/A,N/A,N/A,N/A,mL/kg IBW,Monitored value. Volume of patient-triggered breaths.
cardiac index_mean,2.5,4,2.5,4,L/min/m²,Cardiac output indexed to body surface area. 28
cardiac output thermodilution_mean,4,8,4,8,L/min,"Thermodilution (TD) is a common measurement method, often preferred over estimated Fick. 28"
cardiac output fick_mean,4,8,4,8,L/min,Fick method is another way to measure cardiac output. Direct Fick is the gold standard but rarely used. Estimated Fick has limitations. 54
central venous pressure_mean,2,6,2,6,mmHg,Some sources cite 0-8 mmHg. Reflects right ventricular preload. 28
glascow coma scale total_mean,N/A,N/A,N/A,N/A,Points (3-15),Clinical scoring system. A score ≤8 indicates severe impairment. Not a lab value. 60
